Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
1704322724.4598784,218909,1704322724,399690744,ublox_gps,0,15,41.6469276,-27.316452534817916,235.696,0.128881,0.0,0.0,0.0,0.128881,0.0,0.0,0.0,0.257049,2
1704322724.6548634,218910,1704322724,599690728,ublox_gps,0,15,41.6469275,-27.316451634817916,235.68,0.128881,0.0,0.0,0.0,0.128881,0.0,0.0,0.0,0.257049,2
1704322724.8548605,218911,1704322724,799690713,ublox_gps,0,15,41.646927399999996,-27.31645063481792,235.673,0.128164,0.0,0.0,0.0,0.128164,0.0,0.0,0.0,0.256036,2
1704322725.0635846,218912,1704322724,999690698,ublox_gps,0,15,41.6469272,-27.316449634817914,235.666,0.12744899999999998,0.0,0.0,0.0,0.12744899999999998,0.0,0.0,0.0,0.256036,2
1704322725.2528431,218913,1704322725,199690681,ublox_gps,0,15,41.646927,-27.316448634817917,235.661,0.126736,0.0,0.0,0.0,0.126736,0.0,0.0,0.0,0.255025,2
1704322725.4555748,218914,1704322725,399690666,ublox_gps,0,15,41.6469267,-27.316447734817917,235.627,0.126736,0.0,0.0,0.0,0.126736,0.0,0.0,0.0,0.254016,2
1704322725.6556613,218915,1704322725,599690650,ublox_gps,0,15,41.6469264,-27.316446934817918,235.596,0.12531599999999998,0.0,0.0,0.0,0.12531599999999998,0.0,0.0,0.0,0.253009,2
1704322725.8510149,218916,1704322725,799690634,ublox_gps,0,15,41.646926199999996,-27.316446234817917,235.583,0.12460899999999998,0.0,0.0,0.0,0.12460899999999998,0.0,0.0,0.0,0.252004,2
1704322726.0597155,218917,1704322725,999690620,ublox_gps,0,15,41.646926,-27.31644573481792,235.55,0.12320099999999999,0.0,0.0,0.0,0.12320099999999999,0.0,0.0,0.0,0.251001,2
1704322726.2549157,218918,1704322726,199690603,ublox_gps,0,15,41.6469259,-27.316445434817915,235.52,0.12249999999999998,0.0,0.0,0.0,0.12249999999999998,0.0,0.0,0.0,0.25,2
