Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,child_frame_id,pose.pose.position.x,pose.pose.position.y,pose.pose.position.z,pose.pose.orientation.x,pose.pose.orientation.y,pose.pose.orientation.z,pose.pose.orientation.w,pose.covariance,twist.twist.linear.x,twist.twist.linear.y,twist.twist.linear.z,twist.twist.angular.x,twist.twist.angular.y,twist.twist.angular.z,twist.covariance
1704322718.8546605,218594,1704322718,799691183,map,,-1.0247160196128453,2.027845623557686,0.0,0.0,0.0,0.1482146443253401,0.9889552159766958,"(0.139129, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.139129, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.265225, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0)",0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1704322719.0600119,218595,1704322718,999691169,map,,-0.9913919160941709,2.0277289176892808,0.0,0.0,0.0,0.13689569861546297,0.9905854671357663,"(0.139129, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.139129, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.265225, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0)",0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1704322719.2533345,218596,1704322719,199691152,map,,-0.8997506491404802,2.0055149173177766,0.0,0.0,0.0,0.13771052623863503,0.9904725190347676,"(0.139129, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.139129, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.266256, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0)",0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1704322719.4527905,218597,1704322719,399691136,map,,-0.8414334751153191,1.983170885192473,0.0,0.0,0.0,0.15051811293491532,0.9886072514798342,"(0.139876, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.139876, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.266256, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0)",0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1704322719.6524112,218598,1704322719,599691121,map,,-0.7747852790799766,1.9608968728918743,0.0,0.0,0.0,0.1641449325070788,0.9864362326740875,"(0.139876, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.139876, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.266256, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0)",0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1704322719.852811,218599,1704322719,799691105,map,,-0.683144014003579,1.9164688898664353,0.0,0.0,0.0,0.1763369832199549,0.9843298574913215,"(0.139876, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.139876, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.266256, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0)",0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1704322720.0591984,218600,1704322719,999691090,map,,-0.5998337698057588,1.8831045564771487,0.0,0.0,0.0,0.18715349807109688,0.9823306816748381,"(0.139876, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.139876, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.266256, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0)",0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1704322720.2530441,218601,1704322720,199691074,map,,-0.5248545493378682,1.8497168845368184,0.0,0.0,0.0,0.19833009708941285,0.9801352827995246,"(0.139129, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.139129, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.266256, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0)",0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1704322720.450883,218602,1704322720,399691058,map,,-0.45820635028977674,1.827329509320842,0.0,0.0,0.0,0.20727576576175946,0.9782825547498413,"(0.138384, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.138384, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.265225, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0)",0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1704322720.6582565,218603,1704322720,599691042,map,,-0.38322712982319385,1.8050755070187225,0.0,0.0,0.0,0.21752165975125276,0.9760554940878414,"(0.138384, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.138384, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.264196, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 73.49879455566406)",0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
