Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1704351528.6924734,1444318,1704351528,692224947,base_link,0.05206130948988531,-0.006950652233267677,-0.9327127836808892,-0.35677467909869565,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,-0.012310440971185764,-0.0009894268048424842,0.15718745741412424,0.00010000000000000002,0.0,0.0,0.0,0.00010000000000000002,0.0,0.0,0.0,0.0001,-1.261289752004883,0.09466929317512991,9.86989349192716,0.0036000000000000003,5.293955920339377e-23,0.0,-5.293955920339377e-23,0.0036000000000000003,0.0,0.0,0.0,0.0036
1704351528.7411196,1444319,1704351528,740560748,base_link,0.056025143023417975,-0.006888875465475485,-0.9330201168013447,-0.3553690875526907,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,-0.012837343231531335,0.030501350465685858,0.1821753652901197,0.00010000000000000002,0.0,0.0,0.0,0.00010000000000000002,0.0,0.0,0.0,0.0001,-1.295760878255742,-0.003867590804501974,9.9069653876142,0.0036000000000000003,5.293955920339377e-23,0.0,-5.293955920339377e-23,0.0036000000000000003,0.0,0.0,0.0,0.0036
1704351528.8045764,1444320,1704351528,804236348,base_link,0.060678668968183185,-0.006662132229445436,-0.9337103122649623,-0.3527871424761306,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,-0.005891263238108552,0.017944258886678867,0.20946409454513235,0.00010000000000000002,0.0,0.0,0.0,0.00010000000000000002,0.0,0.0,0.0,0.0001,-1.2148996408516821,-0.04904192690367686,9.95475771294626,0.0036000000000000003,5.293955920339377e-23,0.0,-5.293955920339377e-23,0.0036000000000000003,0.0,0.0,0.0,0.0036
1704351528.8525326,1444321,1704351528,852242724,base_link,0.06370737972254666,-0.00638894355877171,-0.9346743875918806,-0.3496917790695586,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,-0.002334107189024821,-0.012402878605232117,0.25424097044085464,0.00010000000000000002,0.0,0.0,0.0,0.00010000000000000002,0.0,0.0,0.0,0.0001,-1.3554493086081714,-0.10307962893802813,9.72911449562712,0.0036000000000000003,5.293955920339377e-23,0.0,-5.293955920339377e-23,0.0036000000000000003,0.0,0.0,0.0,0.0036
1704351528.9165745,1444322,1704351528,916231910,base_link,0.06553341113095626,-0.004793514598449293,-0.9360687273847056,-0.34562657863033813,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,-0.021183282112205763,-0.06647305962113659,0.2655807436519257,0.00010000000000000002,0.0,0.0,0.0,0.00010000000000000002,0.0,0.0,0.0,0.0001,-1.0715599079551241,0.03682108347250388,9.789615430857241,0.0036000000000000003,5.293955920339377e-23,0.0,-5.293955920339377e-23,0.0036000000000000003,0.0,0.0,0.0,0.0036
1704351528.9645367,1444323,1704351528,964240032,base_link,0.0649069145491099,-0.003649815961842483,-0.9367462468147714,-0.34391894447034915,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,-0.01252153093855615,-0.07969259620475565,0.2288872773891368,0.00010000000000000002,0.0,0.0,0.0,0.00010000000000000002,0.0,0.0,0.0,0.0001,-0.6075690143843292,0.20157242805388473,10.100754182476503,0.0036000000000000003,5.293955920339377e-23,0.0,-5.293955920339377e-23,0.0036000000000000003,0.0,0.0,0.0,0.0036
1704351529.0285084,1444324,1704351529,28234197,base_link,0.06765422640863815,-0.003016371352377724,-0.937505009064071,-0.34131827541561466,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,-0.003122025171684981,0.0349033810962803,0.23807693084937553,0.00010000000000000002,0.0,0.0,0.0,0.00010000000000000002,0.0,0.0,0.0,0.0001,-0.6129569788494058,0.004928459105475571,9.884344445389395,0.0036000000000000003,5.293955920339377e-23,0.0,-5.293955920339377e-23,0.0036000000000000003,0.0,0.0,0.0,0.0036
1704351529.0765078,1444325,1704351529,76207138,base_link,0.06994453305811797,-0.0015180880637726598,-0.9390212508389959,-0.3366668207244073,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.00039959008346091755,0.06554898360722711,0.34131555228403093,0.00010000000000000002,0.0,0.0,0.0,0.00010000000000000002,0.0,0.0,0.0,0.0001,-0.4723566758088352,-0.38410507207757594,9.70729166963953,0.0036000000000000003,5.293955920339377e-23,0.0,-5.293955920339377e-23,0.0036000000000000003,0.0,0.0,0.0,0.0036
1704351529.1244648,1444326,1704351529,124212313,base_link,0.0684616798945907,0.000792939693465228,-0.9411597618807316,-0.33095418451691694,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.00034984373716591096,-0.039670884445711076,0.38595216281409017,0.00010000000000000002,0.0,0.0,0.0,0.00010000000000000002,0.0,0.0,0.0,0.0001,-0.12614266751909856,-0.34909918547142943,10.057859722900517,0.0036000000000000003,5.293955920339377e-23,0.0,-5.293955920339377e-23,0.0036000000000000003,0.0,0.0,0.0,0.0036
1704351529.1885617,1444327,1704351529,188246953,base_link,0.06544572146553689,0.0032142317272069406,-0.943282607642832,-0.32546036375386556,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.015573446941761214,-0.07223626964410293,0.3258516743878905,0.00010000000000000002,0.0,0.0,0.0,0.00010000000000000002,0.0,0.0,0.0,0.0001,-0.13665732250168017,-0.19299392725978567,10.014925559326972,0.0036000000000000003,5.293955920339377e-23,0.0,-5.293955920339377e-23,0.0036000000000000003,0.0,0.0,0.0,0.0036
1704351529.2364964,1444328,1704351529,236201219,base_link,0.06660713129561747,0.0036106444142643365,-0.9443541820715697,-0.3220956878187266,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.03220425509646347,0.01498137485883783,0.2983582645583484,0.00010000000000000002,0.0,0.0,0.0,0.00010000000000000002,0.0,0.0,0.0,0.0001,-0.4063660565539843,-0.19650358713834537,9.81692788126754,0.0036000000000000003,5.293955920339377e-23,0.0,-5.293955920339377e-23,0.0036000000000000003,0.0,0.0,0.0,0.0036
1704351529.3004997,1444329,1704351529,300189008,base_link,0.07008320679655262,0.004030124318622242,-0.9455655272272252,-0.31777025654171537,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.007978936406645515,0.07526764680227126,0.29223961866437775,0.00010000000000000002,0.0,0.0,0.0,0.00010000000000000002,0.0,0.0,0.0,0.0001,-0.34084180114953566,-0.11486081077887647,9.639332980903262,0.0036000000000000003,5.293955920339377e-23,0.0,-5.293955920339377e-23,0.0036000000000000003,0.0,0.0,0.0,0.0036
